hosp,cases,lineDays,rate,ciLow,ciHigh,adherence,area
"RONALD REAGAN UCLA MED CTR, LOS ANGELES",3,1312,2.29,0.47,6.68,98.3,critical care for neonates weighing between 1501 and 2500 grams at birth
SADDLEBACK MEMORIAL MED CTR,0,68,0.00,0.00,44.05,100,critical care for neonates weighing between 1501 and 2500 grams at birth
"SADDLEBACK MEMORIAL MED CTR, LAGUNA HILLS",,,,,,,critical care for neonates weighing between 1501 and 2500 grams at birth
SADDLEBACK MEMORIAL MED CTR-SAN CLEMENTE,,,,,,,critical care for neonates weighing between 1501 and 2500 grams at birth
"SAINT FRANCIS MED CTR, LYNWOOD",0,125,0.00,0.00,23.97,100,critical care for neonates weighing between 1501 and 2500 grams at birth
"SAINT JOHN'S HEALTH CTR, SANTA MONICA",0,84,0.00,0.00,35.66,ND,critical care for neonates weighing between 1501 and 2500 grams at birth
SALINAS VALLEY MEMORIAL HOSP,0,51,0.00,0.00,58.74,92.3,critical care for neonates weighing between 1501 and 2500 grams at birth
"SAN ANTONIO COMMUNITY HOSP, UPLAND",0,234,0.00,0.00,12.80,98.4,critical care for neonates weighing between 1501 and 2500 grams at birth
SAN FRANCISCO GENERAL HOSP,0,2,,,ND,,critical care for neonates weighing between 1501 and 2500 grams at birth
"SAN GABRIEL VALLEY MED CTR, SAN GABRIEL",0,2,,,100,,critical care for neonates weighing between 1501 and 2500 grams at birth
"SAN JOAQUIN COMMUNITY HOSP, BAKERSFIELD",0,53,0.00,0.00,56.52,100,critical care for neonates weighing between 1501 and 2500 grams at birth
"SAN JOAQUIN GENERAL HOSP, FRENCH P",0,58,0.00,0.00,51.65,100,critical care for neonates weighing between 1501 and 2500 grams at birth
SANTA BARBARA COTTAGE HOSPITAL,0,189,0.00,0.00,15.85,100,critical care for neonates weighing between 1501 and 2500 grams at birth
SANTA BARBARA COTTAGE HOSP,,,,,,,critical care for neonates weighing between 1501 and 2500 grams at birth
REHABILITATION INSTITUTE AT SANTA BARBARA,,,,,,,critical care for neonates weighing between 1501 and 2500 grams at birth
"SANTA CLARA VALLEY MED CTR, SAN JOSE",0,100,0.00,0.00,29.96,97.6,critical care for neonates weighing between 1501 and 2500 grams at birth
"SANTA MONICA, UCLA MED CTR AND ORTHOPAEDIC",0,150,0.00,0.00,19.97,100,critical care for neonates weighing between 1501 and 2500 grams at birth
SANTA ROSA MEMORIAL HOSP,0,27,,,100,,critical care for neonates weighing between 1501 and 2500 grams at birth
SCRIPPS HEALTH,2,154,12.99,1.57,46.91,ND,critical care for neonates weighing between 1501 and 2500 grams at birth
"SCRIPPS MERCY HOSP, SAN DIEGO",,,,,,,critical care for neonates weighing between 1501 and 2500 grams at birth
SCRIPPS MERCY HOSP CHULA VISTA,,,,,,,critical care for neonates weighing between 1501 and 2500 grams at birth
"SHARP MARY BIRCH FOR WOMEN & NEWBORNS, SAN DIEGO",0,1819,0.00,0.00,1.65,100,critical care for neonates weighing between 1501 and 2500 grams at birth
"SIERRA VISTA REGIONAL MED CTR, SAN LUIS OBISPO",1,23,,,100,,critical care for neonates weighing between 1501 and 2500 grams at birth
SIMI VALLEY HOSP & HEALTH CARE SERVICES,0,27,,,100,,critical care for neonates weighing between 1501 and 2500 grams at birth
ST BERNARDINE MED CTR,0,89,0.00,0.00,33.66,100,critical care for neonates weighing between 1501 and 2500 grams at birth
"ST JOHN'S REGIONAL MED CTR, OXNARD",0,63,0.00,0.00,47.55,100,critical care for neonates weighing between 1501 and 2500 grams at birth
ST JOSEPH HOSP EUREKA,,,,,,,critical care for neonates weighing between 1501 and 2500 grams at birth
"ST JOSEPH HOSP, EUREKA",0,8,,,100,,critical care for neonates weighing between 1501 and 2500 grams at birth
ST JOSEPH'S MED CTR OF STOCKTON,0,21,,,78.6,,critical care for neonates weighing between 1501 and 2500 grams at birth
"ST JUDE MED CTR, FULLERTON",0,19,,,100,,critical care for neonates weighing between 1501 and 2500 grams at birth
"ST MARY MED CTR, APPLE VALLEY",0,176,0.00,0.00,17.02,100,critical care for neonates weighing between 1501 and 2500 grams at birth
"ST MARY MED CTR, LONG BEACH",0,71,0.00,0.00,42.19,98.0,critical care for neonates weighing between 1501 and 2500 grams at birth
SUTTER EAST BAY HOSPS CTR,1,538,1.86,0.05,10.36,98.6,critical care for neonates weighing between 1501 and 2500 grams at birth
"ALTA BATES SUMMIT MED CTR, ALTA BATES CAMPUS, BERKELEY",,,,,,,critical care for neonates weighing between 1501 and 2500 grams at birth
"ALTA BATES SUMMIT MED CTR, HERRICK CAMPUS, BERKELEY",,,,,,,critical care for neonates weighing between 1501 and 2500 grams at birth
SUTTER HEALTH SACRAMENTO SIERRA REGION,0,474,0.00,0.00,6.32,99.0,critical care for neonates weighing between 1501 and 2500 grams at birth
"SUTTER GENERAL HOSP, SACRAMENTO",,,,,,,critical care for neonates weighing between 1501 and 2500 grams at birth
"SUTTER MEMORIAL HOSP, SACRAMENTO",,,,,,,critical care for neonates weighing between 1501 and 2500 grams at birth
SUTTER MED CTR OF SANTA ROSA,0,42,,,100,,critical care for neonates weighing between 1501 and 2500 grams at birth
SUTTER ROSEVILLE MED CTR,0,2,,,100,,critical care for neonates weighing between 1501 and 2500 grams at birth
SUTTER WEST BAY HOSPS,0,231,0.00,0.00,12.97,100,critical care for neonates weighing between 1501 and 2500 grams at birth
"CALIFORNIA PACIFIC MED CTR, CA WEST CAM HOSP, S F",,,,,,,critical care for neonates weighing between 1501 and 2500 grams at birth
"CALIFORNIA PACIFIC MED CTR, PACIFIC CAM HOSP, S F",,,,,,,critical care for neonates weighing between 1501 and 2500 grams at birth
"TORRANCE MEMORIAL MED CTR, TORRANCE",0,172,0.00,0.00,17.42,100,critical care for neonates weighing between 1501 and 2500 grams at birth
"TRI-CITY MED CTR, OCEANSIDE",0,221,0.00,0.00,13.56,100,critical care for neonates weighing between 1501 and 2500 grams at birth
"UNIVERSITY OF CALIFORNIA DAVIS MED CTR, SACRAMENTO",3,855,3.51,0.72,10.25,96.6,critical care for neonates weighing between 1501 and 2500 grams at birth
"UNIVERSITY OF CALIFORNIA IRVINE MED CTR, ORANGE",0,502,0.00,0.00,5.97,100,critical care for neonates weighing between 1501 and 2500 grams at birth
"UNIVERSITY OF CALIFORNIA, SAN DIEGO",0,506,0.00,0.00,5.92,100,critical care for neonates weighing between 1501 and 2500 grams at birth
"UNIVERSITY OF CALIFORNIA, SAN DIEGO MED CTR",,,,,,,critical care for neonates weighing between 1501 and 2500 grams at birth
"UCSD-LA JOLLA, JOHN M.& SALLY B. THORNTON HOSP",,,,,,,critical care for neonates weighing between 1501 and 2500 grams at birth
"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",0,753,0.0,0.00,3.98,94.7,critical care for neonates weighing between 1501 and 2500 grams at birth
"UCSF MED CTR, SAN FRANCISCO",,,,,,,critical care for neonates weighing between 1501 and 2500 grams at birth
"UCSF MED CTR AT MOUNT ZION, SAN FRANCISCO",,,,,,,critical care for neonates weighing between 1501 and 2500 grams at birth
"VALLEY PRESBYTERIAN HOSP, VAN NUYS",0,98,0.0,0.00,30.57,95.2,critical care for neonates weighing between 1501 and 2500 grams at birth
WEST HILLS HOSP AND MED CTR,0,10,,,100,,critical care for neonates weighing between 1501 and 2500 grams at birth
WESTERN MED CTR SANTA ANA,0,37,,,86.4,,critical care for neonates weighing between 1501 and 2500 grams at birth
"WHITE MEMORIAL MED CTR, LOS ANGELES",0,29,,,73.3,,critical care for neonates weighing between 1501 and 2500 grams at birth
STATE OF CALIFORNIA POOLED DATA,22,40752,0.54,96.2,,,critical care for neonates weighing more than 2500 grams at birth
"AHMC ANAHEIM REGIONAL MED CTR, ANAHEIM",0,42,,,ND,,critical care for neonates weighing more than 2500 grams at birth
"ANTELOPE VALLEY HOSP, LANCASTER",0,24,,,100,,critical care for neonates weighing more than 2500 grams at birth
"ARROWHEAD RGN MED CTR, COLTON",0,35,,,100,,critical care for neonates weighing more than 2500 grams at birth
BAKERSFIELD MEMORIAL HOSP,0,310,0.00,0.00,9.66,100,critical care for neonates weighing more than 2500 grams at birth
"CALIFORNIA HOSP MED CTR, LOS ANGELES",0,138,0.00,0.00,21.71,100,critical care for neonates weighing more than 2500 grams at birth
"CEDARS-SINAI MED CTR, LOS ANGELES",0,203,0.00,0.00,14.76,95.0,critical care for neonates weighing more than 2500 grams at birth
"CENTINELA HOSP MED CTR, INGLEWOOD",0,1,,,100,,critical care for neonates weighing more than 2500 grams at birth
CHILDRENS HOSP AND RESEARCH CTR AT OAKLAND,1,2527,0.40,0.01,2.20,93.2,critical care for neonates weighing more than 2500 grams at birth
"CHILDREN'S HOSP AT MISSION, MISSION VIEJO",0,66,0.00,0.00,45.39,100,critical care for neonates weighing more than 2500 grams at birth
"CHILDREN'S HOSP CENTRAL CA, MADERA",3,2694,1.11,0.23,3.25,99.2,critical care for neonates weighing more than 2500 grams at birth
CHILDRENS HOSP OF LOS ANGELES,1,3540,0.28,0.01,1.57,ND,critical care for neonates weighing more than 2500 grams at birth
"CHILDREN'S HOSP OF ORANGE COUNTY, ORANGE",0,1142,0.00,0.00,2.62,99.5,critical care for neonates weighing more than 2500 grams at birth
"CITRUS VALLEY MED CTR, INC.",0,439,0.00,0.00,6.82,97.7,critical care for neonates weighing more than 2500 grams at birth
"CITRUS VALLEY MED CTR, IC , COVINA",,,,,,,critical care for neonates weighing more than 2500 grams at birth
"CITRUS VALLEY MED CTR, QV, WEST COVINA",,,,,,,critical care for neonates weighing more than 2500 grams at birth
COMMUNITY HOSP OF SAN BERNARDINO,0,4,,,100,,critical care for neonates weighing more than 2500 grams at birth
"COMMUNITY MEMORIAL HOSP, SAN BUENAVENTURA, VENTURA",0,77,0.00,0.00,38.91,100,critical care for neonates weighing more than 2500 grams at birth
"COMMUNITY REGIONAL MED CTR, FRESNO",0,81,0.00,0.00,36.98,86.4,critical care for neonates weighing more than 2500 grams at birth
COUNTY OF VENTURA,0,273,0.00,0.00,10.97,96.6,critical care for neonates weighing more than 2500 grams at birth
VENTURA COUNTY MED CTR,,,,,,,critical care for neonates weighing more than 2500 grams at birth
"VENTURA COUNTY MED CTR, SANTA PAULA HOSP",,,,,,,critical care for neonates weighing more than 2500 grams at birth
"DAMERON HOSP, STOCKTON",0,20,,,100,,critical care for neonates weighing more than 2500 grams at birth
"DESERT REGIONAL MED CTR, PALM SPRINGS",0,51,0.00,0.00,58.74,100,critical care for neonates weighing more than 2500 grams at birth
DIGNITY HEALTH,0,85,0.00,0.00,35.24,100,critical care for neonates weighing more than 2500 grams at birth
"DOMINICAN HOSP CAMPUS #1, SANTA CRUZ",,,,,,,critical care for neonates weighing more than 2500 grams at birth
"DOMINICAN HOSP CAMPUS #2, SANTA CRUZ",,,,,,,critical care for neonates weighing more than 2500 grams at birth
DIGNITY HEALTH,0,53,0.00,0.00,56.52,100,critical care for neonates weighing more than 2500 grams at birth
"MERCY HOSP, BAKERSFIELD",,,,,,,critical care for neonates weighing more than 2500 grams at birth
"MERCY SOUTHWEST HOSP, BAKERSFIELD",,,,,,,critical care for neonates weighing more than 2500 grams at birth
"DOCTORS MED CTR, MODESTO",0,183,0.00,0.00,16.37,90.2,critical care for neonates weighing more than 2500 grams at birth
DOWNEY REGIONAL MED CTR,0,20,,,97.4,,critical care for neonates weighing more than 2500 grams at birth
"EARL & LORAINE MILLER CHILDREN'S HOSP, LONG BEACH",2,1200,1.67,0.20,6.02,100,critical care for neonates weighing more than 2500 grams at birth
EL CAMINO HOSP,,,,,,,critical care for neonates weighing more than 2500 grams at birth
"EL CAMINO HOSP, MOUNTAIN VIEW",0,161,0.00,0.00,18.61,97.6,critical care for neonates weighing more than 2500 grams at birth
ENLOE MED CTR,0,1,,,ND,,critical care for neonates weighing more than 2500 grams at birth
"ENLOE MED CTR-COHASSET, CHICO",,,,,,,critical care for neonates weighing more than 2500 grams at birth
"ENLOE MED CTR-ESPLANADE, CHICO",,,,,,,critical care for neonates weighing more than 2500 grams at birth
"ENLOE REHABILITATION CTR, CHICO",,,,,,,critical care for neonates weighing more than 2500 grams at birth
FOUNTAIN VALLEY REGIONAL HOSP & MED CTR,0,231,0.00,0.00,12.97,90.9,critical care for neonates weighing more than 2500 grams at birth
FOUNTAIN VALLEY REGIONAL HOSP & MED CTR,,,,,,,critical care for neonates weighing more than 2500 grams at birth
GARDEN GROVE HOSP AND MED CTR,0,1,,,ND,,critical care for neonates weighing more than 2500 grams at birth
"GARFIELD MED CTR, MONTEREY PARK",0,41,,,57.1,,critical care for neonates weighing more than 2500 grams at birth
GLENDALE ADVENTIST MED CTR,0,250,0.00,0.00,11.98,98.6,critical care for neonates weighing more than 2500 grams at birth
GLENDALE MEMORIAL HOSP AND HEALTH CTR,0,2,,,100,,critical care for neonates weighing more than 2500 grams at birth
"GOOD SAMARITAN HOSP, LOS ANGELES",1,190,5.26,0.13,29.32,100,critical care for neonates weighing more than 2500 grams at birth
"GOOD SAMARITAN HOSP, LP",0,149,0.00,0.00,20.11,100,critical care for neonates weighing more than 2500 grams at birth
"MISSION OAKS HOSP, LOS GATOS",,,,,,,critical care for neonates weighing more than 2500 grams at birth
"GOOD SAMARITAN HOSP, SAN JOSE",,,,,,,critical care for neonates weighing more than 2500 grams at birth
"GROSSMONT HOSP, LA MESA",0,44,,,100,,critical care for neonates weighing more than 2500 grams at birth
"HOAG MEMORIAL HOSP PRESBYTERIAN, INC",0,47,,,98.8,,critical care for neonates weighing more than 2500 grams at birth
"HOAG HOSPITAL, IRVINE",,,,,,,critical care for neonates weighing more than 2500 grams at birth
"HOAG MEMORIAL HOSP PRESBYTERIAN, NEWPORT BEACH",,,,,,,critical care for neonates weighing more than 2500 grams at birth
"HOLLYWOOD PRESBYTERIAN MED CTR, LOS ANGELES",0,307,0.00,0.00,9.76,97.5,critical care for neonates weighing more than 2500 grams at birth
HOSPITAL COMMITTEE AREA LIVERMORE PLEASANTON,0,72,0.00,0.00,41.61,90.0,critical care for neonates weighing more than 2500 grams at birth
"VALLEYCARE MEDICAL CENTER, PLEASANTON",,,,,,,critical care for neonates weighing more than 2500 grams at birth
"VALLEY MEMORIAL HOSPITAL, LIVERMORE",,,,,,,critical care for neonates weighing more than 2500 grams at birth
"HUNTINGTON MEMORIAL HOSP, PASADENA",0,202,0.00,0.00,14.83,92.4,critical care for neonates weighing more than 2500 grams at birth
"JOHN F. KENNEDY MEMORIAL HOSP, INDIO",0,1,,,ND,,critical care for neonates weighing more than 2500 grams at birth
"JOHN MUIR MED CTR, WALNUT CREEK",0,71,0.00,0.00,42.19,95.9,critical care for neonates weighing more than 2500 grams at birth
"KAISER FOUNDATION HOSP, BALDWIN PARK",0,13,,,100,,critical care for neonates weighing more than 2500 grams at birth
"KAISER FOUNDATION HOSP-DOWNEY, BELLFLOWER",0,210,0.00,0.00,14.27,94.5,critical care for neonates weighing more than 2500 grams at birth
"KAISER FOUNDATION HOSP, LOS ANGELES",2,621,3.22,0.39,11.63,91.8,critical care for neonates weighing more than 2500 grams at birth
"KAISER FOUNDATION HOSP, PANORAMA CITY",0,73,0.00,0.00,41.04,100,critical care for neonates weighing more than 2500 grams at birth
"KAISER FOUNDATION HOSP, RIVERSIDE",0,112,0.00,0.00,26.75,100,critical care for neonates weighing more than 2500 grams at birth
"KAISER FOUNDATION HOSP, ROSEVILLE",0,309,0.00,0.00,9.69,74.6,critical care for neonates weighing more than 2500 grams at birth
"KAISER FOUNDATION HOSP, SAN DIEGO",0,318,0.00,0.00,9.42,98.8,critical care for neonates weighing more than 2500 grams at birth
"KAISER FOUNDATION HOSP, SAN FRANCISCO",0,79,0.00,0.00,37.92,100,critical care for neonates weighing more than 2500 grams at birth
KAISER FOUNDATION HOSP-SANTA CLARA,0,104,0.00,0.00,28.81,98.5,critical care for neonates weighing more than 2500 grams at birth
KAISER FOUNDATION HOSP-WALNUT CREEK,0,168,0.00,0.00,17.83,86.1,critical care for neonates weighing more than 2500 grams at birth
"KAISER FOUNDATION HOSP-WEST LA, LOS ANGELES",0,34,,,62.9,,critical care for neonates weighing more than 2500 grams at birth
"KAISER FOUNDATION HOSP, WOODLAND HILLS",0,14,,,50.0,,critical care for neonates weighing more than 2500 grams at birth
KAISER FOUNDATION HOSPS,0,231,0.00,0.00,12.97,75.0,critical care for neonates weighing more than 2500 grams at birth
KAISER FOUNDATION HOSP-ANAHEIM MEDICAL CENTER,,,,,,,critical care for neonates weighing more than 2500 grams at birth
KAISER FOUNDATION HOSP-LAKEVIEW MEDICAL CENTER,,,,,,,critical care for neonates weighing more than 2500 grams at birth
KAISER FOUNDATION HOSPS,,,,,,,critical care for neonates weighing more than 2500 grams at birth
"KAISER FOUNDATION HOSP, IRVINE",0,13,,,80.0,,critical care for neonates weighing more than 2500 grams at birth
"KAISER FOUNDATION HOSP, FONTANA",0,172,0.00,0.00,17.42,89.7,critical care for neonates weighing more than 2500 grams at birth
"KAISER FOUNDATION HOSP, ONTARIO",0,31,,,100,,critical care for neonates weighing more than 2500 grams at birth
KAISER FOUNDATION HOSPS,0,31,,,82.6,,critical care for neonates weighing more than 2500 grams at birth
"KAISER FOUNDATION HOSP, FREMONT",,,,,,,critical care for neonates weighing more than 2500 grams at birth
"KAISER FOUNDATION HOSP, HAYWARD/FREMONT",,,,,,,critical care for neonates weighing more than 2500 grams at birth
KAISER FOUNDATION HOSPS,0,633,0.00,0.00,4.73,100,critical care for neonates weighing more than 2500 grams at birth
"KAISER FOUNDATION HOSP, OAKLAND/RICHMOND",,,,,,,critical care for neonates weighing more than 2500 grams at birth
"KAISER FOUNDATION HOSP, RICHMOND CAMPUS",,,,,,,critical care for neonates weighing more than 2500 grams at birth
"KAWEAH DELTA MED CTR, VISALIA",0,282,0.00,0.00,10.62,97.7,critical care for neonates weighing more than 2500 grams at birth
"KERN MED CTR, BAKERSFIELD",0,253,0.00,0.00,11.84,96.5,critical care for neonates weighing more than 2500 grams at birth
"LAC+USC MED CTR, LOS ANGELES",0,300,0.00,0.00,9.99,99.3,critical care for neonates weighing more than 2500 grams at birth
"LAC/HARBOR-UCLA MED CTR, TORRANCE",0,205,0.00,0.00,14.61,90.6,critical care for neonates weighing more than 2500 grams at birth
LOMA LINDA UNIVERSITY MED CTR,0,2998,0.00,0.00,1.00,78.8,critical care for neonates weighing more than 2500 grams at birth
"LOMA LINDA UNIV HEART & SURGICAL HOSP, REDLANDS",,,,,,,critical care for neonates weighing more than 2500 grams at birth
"LOMA LINDA UNIV MED CTR EAST HOSP, LOMA LINDA",,,,,,,critical care for neonates weighing more than 2500 grams at birth
"LOMA LINDA UNIV MED CTR, LOMA LINDA",,,,,,,critical care for neonates weighing more than 2500 grams at birth
"LOS ANGELES CO OLIVE VIEW-UCLA MED CTR, SYLMAR",0,53,0.00,0.00,56.52,100,critical care for neonates weighing more than 2500 grams at birth
LOS ROBLES REGIONAL MED CTR,0,62,0.00,0.00,48.32,100,critical care for neonates weighing more than 2500 grams at birth
"LOS ROBLES HOSP & MED CTR, E , THOUSAND OAKS",,,,,,,critical care for neonates weighing more than 2500 grams at birth
"LOS ROBLES HOSP & MED CTR, THOUSAND OAKS",,,,,,,critical care for neonates weighing more than 2500 grams at birth
"LUCILE SALTER PACKARD CHILDREN'S HOSP AT STANFORD, PALO ALTO",2,3857,0.52,0.06,1.87,99.6,critical care for neonates weighing more than 2500 grams at birth
MARIAN REGIONAL MEDICAL CENTER,,,,,,,critical care for neonates weighing more than 2500 grams at birth
MARIAN REGIONAL MEDICAL CENTER,0,14,,,100,,critical care for neonates weighing more than 2500 grams at birth
MERCY MED CTR REDDING,0,43,,,100,,critical care for neonates weighing more than 2500 grams at birth
"MERCY SAN JUAN MED CTR, CARMICHAEL",0,131,0.00,0.00,22.87,98.7,critical care for neonates weighing more than 2500 grams at birth
"METHODIST HOSP OF SOUTHERN CA, ARCADIA",0,12,,,100,,critical care for neonates weighing more than 2500 grams at birth
"NATIVIDAD MED CTR, SALINAS",0,39,,,100,,critical care for neonates weighing more than 2500 grams at birth
NORTHBAY HEALTHCARE GROUP,,,,,,,critical care for neonates weighing more than 2500 grams at birth
"NORTHBAY MED CTR, FAIRFIELD",1,36,,,100,,critical care for neonates weighing more than 2500 grams at birth
NORTHRIDGE HOSP MED CTR,0,136,0.00,0.00,22.03,100,critical care for neonates weighing more than 2500 grams at birth
"O'CONNOR HOSP, SAN JOSE",0,23,,,94.4,,critical care for neonates weighing more than 2500 grams at birth
"ORANGE COAST MEMORIAL MED CTR, FOUNTAIN VALLEY",0,32,,,100,,critical care for neonates weighing more than 2500 grams at birth
"PARKVIEW COMMUNITY HOSP MED CTR, RIVERSIDE",0,9,,,87.5,,critical care for neonates weighing more than 2500 grams at birth
"POMONA VALLEY HOSP MED CTR, POMONA",0,323,0.00,0.00,9.27,96.6,critical care for neonates weighing more than 2500 grams at birth
"PRESBYTERIAN INTERCOMMUNITY HOSP, WHITTIER",0,128,0.00,0.00,23.40,100,critical care for neonates weighing more than 2500 grams at birth
"PROVIDENCE LITTLE COMPANY OF MARY MED CTR, TORRANCE",0,43,,,100,,critical care for neonates weighing more than 2500 grams at birth
"PROVIDENCE SAINT JOSEPH MED CTR, BURBANK",0,16,,,100,,critical care for neonates weighing more than 2500 grams at birth
"PROVIDENCE TARZANA MED CTR, TARZANA",0,18,,,100,,critical care for neonates weighing more than 2500 grams at birth
"QUEEN OF THE VALLEY MED CTR, NAPA",0,40,,,100,,critical care for neonates weighing more than 2500 grams at birth
"RADY CHILDREN'S HOSP, SAN DIEGO",0,4107,0.00,0.00,0.73,90.4,critical care for neonates weighing more than 2500 grams at birth
REDLANDS COMMUNITY HOSP,0,74,0.00,0.00,40.48,94.6,critical care for neonates weighing more than 2500 grams at birth
REGIONAL MED CTR OF SAN JOSE,0,2,,,100,,critical care for neonates weighing more than 2500 grams at birth
RIVERSIDE COMMUNITY HOSP,0,111,0.00,0.00,26.99,100,critical care for neonates weighing more than 2500 grams at birth
"RIVERSIDE COUNTY REGIONAL MED CTR, MORENO VALLEY",0,309,0.00,0.00,9.69,100,critical care for neonates weighing more than 2500 grams at birth
"RONALD REAGAN UCLA MED CTR, LOS ANGELES",4,1628,2.46,0.67,6.29,98.3,critical care for neonates weighing more than 2500 grams at birth
SADDLEBACK MEMORIAL MED CTR,0,56,0.00,0.00,53.50,100,critical care for neonates weighing more than 2500 grams at birth
"SADDLEBACK MEMORIAL MED CTR, LAGUNA HILLS",,,,,,,critical care for neonates weighing more than 2500 grams at birth
SADDLEBACK MEMORIAL MED CTR-SAN CLEMENTE,,,,,,,critical care for neonates weighing more than 2500 grams at birth
"SAINT FRANCIS MED CTR, LYNWOOD",0,93,0.00,0.00,32.21,100,critical care for neonates weighing more than 2500 grams at birth
"SAINT JOHN'S HEALTH CTR, SANTA MONICA",0,27,,,ND,,critical care for neonates weighing more than 2500 grams at birth
SALINAS VALLEY MEMORIAL HOSP,0,38,,,92.3,,critical care for neonates weighing more than 2500 grams at birth
"SAN ANTONIO COMMUNITY HOSP, UPLAND",0,37,,,98.4,,critical care for neonates weighing more than 2500 grams at birth
SAN FRANCISCO GENERAL HOSP,0,29,,,ND,,critical care for neonates weighing more than 2500 grams at birth
"SAN GABRIEL VALLEY MED CTR, SAN GABRIEL",0,5,,,100,,critical care for neonates weighing more than 2500 grams at birth
"SAN JOAQUIN COMMUNITY HOSP, BAKERSFIELD",0,44,,,100,,critical care for neonates weighing more than 2500 grams at birth
"SAN JOAQUIN GENERAL HOSP, FRENCH P",0,45,,,100,,critical care for neonates weighing more than 2500 grams at birth
SANTA BARBARA COTTAGE HOSPITAL,0,4,,,100,,critical care for neonates weighing more than 2500 grams at birth
SANTA BARBARA COTTAGE HOSP,,,,,,,critical care for neonates weighing more than 2500 grams at birth
REHABILITATION INSTITUTE AT SANTA BARBARA,,,,,,,critical care for neonates weighing more than 2500 grams at birth
"SANTA CLARA VALLEY MED CTR, SAN JOSE",1,843,1.19,0.03,6.61,97.6,critical care for neonates weighing more than 2500 grams at birth
"SANTA MONICA, UCLA MED CTR AND ORTHOPAEDIC",0,41,,,100,,critical care for neonates weighing more than 2500 grams at birth
SANTA ROSA MEMORIAL HOSP,0,15,,,100,,critical care for neonates weighing more than 2500 grams at birth
SCRIPPS HEALTH,0,86,0.00,0.00,34.83,ND,critical care for neonates weighing more than 2500 grams at birth
"SCRIPPS MERCY HOSP, SAN DIEGO",,,,,,,critical care for neonates weighing more than 2500 grams at birth
SCRIPPS MERCY HOSP CHULA VISTA,,,,,,,critical care for neonates weighing more than 2500 grams at birth
"SHARP MARY BIRCH FOR WOMEN & NEWBORNS, SAN DIEGO",0,516,0.00,0.00,5.81,100,critical care for neonates weighing more than 2500 grams at birth
"SIERRA VISTA REGIONAL MED CTR, SAN LUIS OBISPO",0,15,,,100,,critical care for neonates weighing more than 2500 grams at birth
SIMI VALLEY HOSP & HEALTH CARE SERVICES,0,11,,,100,,critical care for neonates weighing more than 2500 grams at birth
ST BERNARDINE MED CTR,0,84,0.00,0.00,35.66,100,critical care for neonates weighing more than 2500 grams at birth
"ST JOHN'S REGIONAL MED CTR, OXNARD",0,52,0.00,0.00,57.61,100,critical care for neonates weighing more than 2500 grams at birth
ST JOSEPH HOSP EUREKA,,,,,,,critical care for neonates weighing more than 2500 grams at birth
"ST JOSEPH HOSP, EUREKA",0,4,,,100,,critical care for neonates weighing more than 2500 grams at birth
ST JOSEPH'S MED CTR OF STOCKTON,0,8,,,78.6,,critical care for neonates weighing more than 2500 grams at birth
"ST JUDE MED CTR, FULLERTON",0,6,,,100,,critical care for neonates weighing more than 2500 grams at birth
"ST MARY MED CTR, APPLE VALLEY",0,76,0.00,0.00,39.42,100,critical care for neonates weighing more than 2500 grams at birth
"ST MARY MED CTR, LONG BEACH",0,16,,,98.0,,critical care for neonates weighing more than 2500 grams at birth
SUTTER EAST BAY HOSPS CTR,0,174,0.00,0.00,17.22,98.6,critical care for neonates weighing more than 2500 grams at birth
"ALTA BATES SUMMIT MED CTR, ALTA BATES CAMPUS, BERKELEY",,,,,,,critical care for neonates weighing more than 2500 grams at birth
"ALTA BATES SUMMIT MED CTR, HERRICK CAMPUS, BERKELEY",,,,,,,critical care for neonates weighing more than 2500 grams at birth
SUTTER HEALTH SACRAMENTO SIERRA REGION,0,798,0.00,0.00,3.75,99.0,critical care for neonates weighing more than 2500 grams at birth
"SUTTER GENERAL HOSP, SACRAMENTO",,,,,,,critical care for neonates weighing more than 2500 grams at birth
"SUTTER MEMORIAL HOSP, SACRAMENTO",,,,,,,critical care for neonates weighing more than 2500 grams at birth
SUTTER MED CTR OF SANTA ROSA,0,46,,,100,,critical care for neonates weighing more than 2500 grams at birth
SUTTER ROSEVILLE MED CTR,0,5,,,100,,critical care for neonates weighing more than 2500 grams at birth
SUTTER WEST BAY HOSPS,0,177,0.00,0.00,16.93,100,critical care for neonates weighing more than 2500 grams at birth
"CALIFORNIA PACIFIC MED CTR, CA WEST CAM HOSP, S F",,,,,,,critical care for neonates weighing more than 2500 grams at birth
"CALIFORNIA PACIFIC MED CTR, PACIFIC CAM HOSP, S F",,,,,,,critical care for neonates weighing more than 2500 grams at birth
"TORRANCE MEMORIAL MED CTR, TORRANCE",0,40,,,100,,critical care for neonates weighing more than 2500 grams at birth
"TRI-CITY MED CTR, OCEANSIDE",0,499,0.00,0.00,6.00,100,critical care for neonates weighing more than 2500 grams at birth
"UNIVERSITY OF CALIFORNIA DAVIS MED CTR, SACRAMENTO",2,722,2.77,0.34,10.01,96.6,critical care for neonates weighing more than 2500 grams at birth
"UNIVERSITY OF CALIFORNIA IRVINE MED CTR, ORANGE",1,704,1.42,0.04,7.91,100,critical care for neonates weighing more than 2500 grams at birth
